City_ID,City,Country,Max_Temp,Description,Lat,Lng,Hotel Name
405,Inirida,CO,72.72,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
408,Elat,IL,55.24,clear sky,29.5581,34.9482,Melony Club
409,Ponnampet,IN,64.63,overcast clouds,12.15,75.9333,Durga Boji
412,Along,IN,58.89,clear sky,28.1667,94.7667,Hotel Toshi Palace
413,Aljezur,PT,64.09,overcast clouds,37.3191,-8.8033,Vicentina Hotel
418,Bouna,CI,74.28,clear sky,9.2667,-3.0,Hôtel Éléphant  Bouna
421,Launceston,AU,58.6,light rain,-41.45,147.1667,Hotel Charles
433,Bosaso,SO,71.76,clear sky,11.2842,49.1816,Bosaso hotel
437,Fukue,JP,55.76,broken clouds,32.6881,128.8419,五島第一ホテル
438,Chotila,IN,61.9,clear sky,22.4167,71.1833,Hotel India
449,Vallenar,CL,69.69,clear sky,-28.5708,-70.7581,Hotel del Marqués
452,Ambilobe,MG,72.5,scattered clouds,-13.2,49.05,Hôtel National
460,Hambantota,LK,73.74,light rain,6.1241,81.1185,Oasis Aurweda Resort Hambathota
462,Videira,BR,66.83,overcast clouds,-27.0083,-51.1517,Hotel Brazão
468,Salta,AR,69.58,few clouds,-24.7859,-65.4117,Ayres de Salta Hotel
469,Aswan,EG,58.3,clear sky,24.0934,32.907,Yaseen hotel
475,Minab,IR,68.32,scattered clouds,27.1467,57.0801,هتل صدف
480,Ahipara,NZ,67.42,light rain,-35.1667,173.1667,YHA Ahipara
484,Coronado,US,58.48,few clouds,32.6859,-117.1831,Hotel Marisol Coronado
493,Mbala,ZM,57.76,broken clouds,-8.8402,31.3659,Lake Chila Lodge
497,Lamar,US,55.36,moderate rain,33.6668,-95.5836,Days Inn by Wyndham Paris
509,Corinth,GR,61.9,overcast clouds,37.9407,22.9573,Apollon
511,Sao Felix Do Xingu,BR,71.78,overcast clouds,-6.6447,-51.995,Hotel Terraço
517,Praia Da Vitoria,PT,66.45,light rain,38.7333,-27.0667,Salles
521,Saint-Georges,GD,73.08,few clouds,12.0564,-61.7485,Deyna's City Inn
522,Bloemhof,ZA,68.13,broken clouds,-27.6469,25.607,Calimyn
528,Ontario,US,57.85,broken clouds,34.0633,-117.6509,Travelodge by Wyndham Ontario
529,Los Llanos De Aridane,ES,67.75,scattered clouds,28.6585,-17.9182,Valle Aridane
532,Puerto Del Rosario,ES,67.75,clear sky,28.5004,-13.8627,Hotel Tamasite
538,Mercedes,AR,73.78,clear sky,-34.6515,-59.4307,Gran Hotel Mercedes
548,Coari,BR,73.85,broken clouds,-4.085,-63.1414,Hotel Saúde
552,Presidencia Roque Saenz Pena,AR,70.7,overcast clouds,-26.7852,-60.4388,Hotel Presidente
555,Lima,PE,66.45,scattered clouds,-12.0432,-77.0282,Hotel Peach Garden
566,Minas Novas,BR,68.29,light rain,-17.2186,-42.5903,Grande Hotel
572,Ponta Delgada,PT,66.92,broken clouds,37.7333,-25.6667,Hotel Talisman
573,Mbandaka,CD,70.7,scattered clouds,0.0487,18.2603,Hôtel Epervier
578,Banos,EC,61.11,moderate rain,-1.4,-78.4167,Hotel Sangay
582,Rio Grande,BR,71.85,overcast clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
584,Nizwa,OM,62.98,clear sky,22.9333,57.5333,Nizwa Heritage Inn
595,San Vicente,AR,67.42,overcast clouds,-26.6167,-54.1333,Los Lapachos
602,Peruibe,BR,71.94,scattered clouds,-24.32,-46.9983,Brisamar
605,Bryan,US,71.35,light rain,30.6744,-96.37,The Lasalle Hotel
613,Malanje,AO,62.08,light rain,-9.5402,16.341,dom Fausto
615,Monkey Bay,MW,74.46,overcast clouds,-14.0728,34.9201,Chimanga Resthouse
620,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Terra Sur
622,Chaozhou,CN,62.46,overcast clouds,23.6651,116.6379,潮州宾馆
625,Karachi,PK,67.82,haze,24.9056,67.0822,Quetta Agha Hotel
627,Maxixe,MZ,74.01,few clouds,-23.8597,35.3472,Hotel Herry
628,Fianarantsoa,MG,58.17,overcast clouds,-21.4333,47.0833,Hôtel Mahamanina
631,Richards Bay,ZA,72.0,overcast clouds,-28.783,32.0377,Protea Hotel
632,Lithakia,GR,61.97,overcast clouds,37.7167,20.8333,Κούκλα Μάρε
639,Shimoda,JP,64.11,broken clouds,34.6667,138.95,ホテルウラガ
641,Conceicao Da Barra,BR,73.38,scattered clouds,-18.5933,-39.7322,Porto Marlin Hotel
642,Pochutla,MX,73.81,clear sky,15.7432,-96.4661,Hotel El Patio
656,Alta Floresta,BR,69.39,overcast clouds,-9.8756,-56.0861,Villas Hotel
658,Wanxian,CN,55.87,overcast clouds,30.8039,108.3897,DoubleTree by Hilton Hotel Chongqing Wanzhou
659,Tacuarembo,UY,72.41,broken clouds,-31.7333,-55.9833,Hotel Carlos Gardel
660,Lake City,US,64.58,overcast clouds,30.1897,-82.6393,Cypress Inn
672,Gaoual,GN,72.03,clear sky,11.75,-13.2,Hotel
681,Chokwe,MZ,72.93,broken clouds,-24.5333,32.9833,Limpopo Hotel
