City_ID,City,Country,Lat,Lng,Cloudiness,Humidity,Max_Temp,Wind Speed,Description
79,Cam Ranh,VN,11.9214,109.1591,20,57,82.36,11.5,few clouds
80,Portland,US,45.5234,-122.6762,100,92,47.89,7.0,overcast clouds
81,New Norfolk,AU,-42.7826,147.0587,100,54,63.91,5.06,light rain
82,Georgetown,MY,5.4112,100.3354,20,85,82.33,5.75,few clouds
83,Barbastro,ES,42.0356,0.1269,100,48,32.54,2.82,overcast clouds
84,Vaitape,PF,-16.5167,-151.75,100,75,76.42,9.15,light rain
85,Lazaro Cardenas,MX,17.9583,-102.2,2,83,76.01,4.05,clear sky
86,San Juan Del Sur,NI,11.2529,-85.8705,0,79,77.56,18.45,clear sky
87,Norman Wells,CA,65.282,-126.8329,75,68,-27.36,2.3,broken clouds
88,Anadyr,RU,64.75,177.4833,75,92,16.3,20.13,snow
89,Hay River,CA,60.8156,-115.7999,83,77,-5.82,4.61,broken clouds
90,La Ronge,CA,55.1001,-105.2842,75,85,8.85,4.61,broken clouds
91,Sartell,US,45.6216,-94.2069,100,94,32.29,0.0,mist
92,Klaksvik,FO,62.2266,-6.589,99,76,36.52,25.61,light rain
93,Esperance,AU,-33.8667,121.9,91,53,61.47,11.9,overcast clouds
94,Waingapu,ID,-9.6567,120.2641,82,57,86.56,4.25,broken clouds
95,Namibe,AO,-15.1961,12.1522,56,81,68.56,4.14,broken clouds
96,Srednekolymsk,RU,67.45,153.6833,61,98,-43.91,8.01,broken clouds
97,Hofn,IS,64.2539,-15.2082,0,47,31.26,11.88,clear sky
98,Taoudenni,ML,22.6783,-3.9836,0,14,74.55,3.42,clear sky
99,Henties Bay,NA,-22.116,14.2845,48,94,60.08,4.32,scattered clouds
100,Kirakira,SB,-10.4544,161.9205,100,87,78.1,4.16,overcast clouds
101,Roald,NO,62.5833,6.1333,52,68,25.75,13.8,broken clouds
102,Caravelas,BR,-17.7125,-39.2481,100,92,76.91,7.74,light rain
103,Atikokan,CA,48.7555,-91.6216,100,99,22.28,2.98,overcast clouds
104,Fortuna,US,40.5982,-124.1573,100,95,46.74,9.22,overcast clouds
105,Dikson,RU,73.5069,80.5464,96,100,-7.76,9.37,overcast clouds
106,Borzya,RU,50.3833,116.5167,10,90,-6.12,2.59,clear sky
107,Arraial Do Cabo,BR,-22.9661,-42.0278,14,95,74.61,11.05,few clouds
108,Vila Velha,BR,-20.3297,-40.2925,0,93,73.94,3.44,clear sky
109,Tutoia,BR,-2.7619,-42.2744,22,82,79.63,13.42,few clouds
110,Bengkulu,ID,-3.8004,102.2655,100,81,78.19,7.07,overcast clouds
111,Jawhar,SO,2.7809,45.5005,100,85,73.4,6.89,overcast clouds
112,Saint George,US,37.1041,-113.5841,0,61,43.79,1.99,clear sky
113,Letterkenny,IE,54.95,-7.7333,24,93,31.03,2.13,few clouds
114,Yar-Sale,RU,66.8333,70.8333,21,100,-20.42,5.01,few clouds
115,Upernavik,GL,72.7868,-56.1549,100,93,20.57,13.87,light snow
116,Vardo,NO,70.3705,31.1107,54,68,26.58,21.85,broken clouds
117,Ponta Do Sol,PT,32.6667,-17.1,100,94,75.0,11.65,light rain
118,Kedrovyy,RU,56.1667,91.8167,100,95,0.01,8.25,overcast clouds
119,Cassia,BR,-20.5831,-46.9219,60,73,71.26,1.86,broken clouds
120,Chokurdakh,RU,70.6333,147.9167,100,97,-16.37,10.87,overcast clouds
121,Kartuzy,PL,54.3342,18.1974,75,92,31.39,1.14,mist
122,Nikolskoye,RU,59.7035,30.7861,99,100,22.89,2.8,overcast clouds
123,Tuusula,FI,60.4037,25.0264,75,81,25.75,10.36,broken clouds
124,Pasni,PK,25.2631,63.471,0,51,72.7,6.26,clear sky
125,Solnechnyy,RU,50.7214,136.6319,6,61,8.2,3.22,clear sky
126,Huinan,CN,42.6225,126.2614,2,69,16.38,4.16,clear sky
